Year,Month,Day,Hour,Minute,Temperature daily mean [2 m above gnd],Relative Humidity daily mean [2 m above gnd],Mean Sea Level Pressure daily mean [MSL],Total Precipitation (high resolution) daily sum [sfc],Total Precipitation (low resolution) daily sum [sfc],Total Cloud Cover daily mean [sfc],High Cloud Cover daily mean [high cld lay],Medium Cloud Cover daily mean [mid cld lay],Low Cloud Cover daily mean [low cld lay],Sunshine Duration daily sum [sfc],Wind Speed daily mean [10 m above gnd],Wind Direction daily mean [10 m above gnd],Temperature daily max [2 m above gnd],Temperature daily min [2 m above gnd],Relative Humidity daily max [2 m above gnd],Relative Humidity daily min [2 m above gnd],Mean Sea Level Pressure daily max [MSL],Mean Sea Level Pressure daily min [MSL],Total Cloud Cover daily max [sfc],Total Cloud Cover daily min [sfc],High Cloud Cover daily max [high cld lay],High Cloud Cover daily min [high cld lay],Medium Cloud Cover daily max [mid cld lay],Medium Cloud Cover daily min [mid cld lay],Low Cloud Cover daily max [low cld lay],Low Cloud Cover daily min [low cld lay],Wind Speed daily max [10 m above gnd],Wind Speed daily min [10 m above gnd]
2009,1,1,0,0,36.52,88.54,1026.72,0,0.6,52.04,0,0,52.04,-888.61,3.95,193.86,43.41,31.19,100,66,1028.5,1025.4,100,0,0,0,0,0,100,0,12.25,0.22
2009,1,2,0,0,32.21,79.62,1024.44,0,0,72,3.88,9.21,72,53.62,6.19,170.73,36.34,28.6,97,62,1026.1,1023.3,100,0,41,0,100,0,100,0,19.3,2.41
2009,1,3,0,0,28.49,66.92,1023.57,0,0,0,0,0,0,516.51,6.41,143.91,35.92,23.61,88,41,1025,1022.1,0,0,0,0,0,0,0,0,19.47,1.57
2009,1,4,0,0,27.59,66.54,1021.75,0,0,46.58,20.88,46.46,0.17,306.94,2.68,225.27,34.43,21.04,92,43,1024.6,1018.4,100,0,100,0,100,0,3,0,7.5,0.71
2009,1,5,0,0,29.12,66.29,1017.12,0.4,0.1,100,13.21,88.21,45.33,0,6.26,292.34,32.52,25.65,92,49,1018,1016,100,100,82,0,100,7,100,0,10.85,2.11
2009,1,6,0,0,28.47,83.12,1016.72,0,0,94.92,0,2.5,94.92,43.4,6.14,167.94,34.63,21.13,96,63,1018.1,1015.2,100,58,0,0,36,0,100,58,11.23,1.8
2009,1,7,0,0,23.75,87.54,1019.87,0,0,58.71,0,5.12,58.71,163.27,5.03,298.28,31.95,20.55,95,66,1022.5,1018.3,100,0,0,0,100,0,100,0,8.85,1.12
2009,1,8,0,0,25.95,86.29,1025.4,0,0,69.04,0,0,69.04,143.62,6.8,73.1,29.75,21.36,95,70,1028.7,1022,100,0,0,0,0,0,100,0,10.14,2.5
2009,1,9,0,0,25.45,87.46,1028.5,0,0,21.04,0,0,21.04,521.24,4.13,171.15,34.86,17.71,96,69,1029.9,1026.6,100,0,0,0,0,0,100,0,13.13,0.32
2009,1,10,0,0,26.86,88.62,1028.88,0,0,8.54,0,0,8.54,524.73,4.67,155.92,37.09,19.4,100,68,1031.3,1026.9,100,0,0,0,0,0,100,0,9.9,0.71
2009,1,11,0,0,30.02,80.12,1032.61,0,0,0.42,0,0,0.42,527.68,4.33,103.83,38.34,23.88,96,64,1034,1031.4,8,0,0,0,0,0,8,0,7.41,0.92
2009,1,12,0,0,32.98,69.12,1027.8,0,0,6.72,3.38,6.71,0,529.43,6.86,115.31,40.06,26.02,85,40,1032,1023.6,100,0,30,0,100,0,0,0,10.52,3.3
2009,1,13,0,0,37.68,73.92,1019.35,0,0,18.6,14.83,18,0,478.26,6.74,109.37,43.79,33.8,89,55,1023.9,1016.7,100,0,31,0,100,0,0,0,8.61,3.91
2009,1,14,0,0,35,83.29,1017.5,4.2,1.9,59.34,2.46,25.38,58.33,107.93,7.8,216.23,37.4,33.17,98,59,1020,1015.4,100,0,19,0,100,0,100,0,15.07,2.06
2009,1,15,0,0,34.63,88.58,1019.9,0,0,38.33,0,0,38.33,478.27,7.22,161.26,41.04,30.78,99,71,1021.6,1018.4,100,0,0,0,0,0,100,0,14.58,0.5
2009,1,16,0,0,35.34,83.67,1023.46,0,0,23.5,12.29,22.08,0.12,404.63,8.26,115.98,45.41,26.89,97,61,1025.1,1022,100,0,42,0,100,0,2,0,15.23,4.22
2009,1,17,0,0,41.07,77.33,1022.85,0,0,84.33,19.83,41.92,67.08,90,7.2,175.39,49.87,32.9,92,65,1024.5,1020.7,100,0,82,0,100,0,100,0,13.61,2.06
2009,1,18,0,0,40.6,89.96,1014.28,3.1,3.1,83.38,36.71,69.96,58.46,17.78,14.3,206.75,45.37,32.63,100,74,1021.7,1006.7,100,0,100,0,100,0,100,0,30.48,4
2009,1,19,0,0,44.87,77.38,1001.95,2.7,3.8,63.96,13.58,49.33,51.92,71.97,13.02,201.14,51.73,38.32,100,65,1013.7,995.5,100,0,100,0,100,0,100,0,21.51,6.22
2009,1,20,0,0,42.68,86.04,1000.29,0.6,1,100,27.12,100,100,0,4.15,186.56,46.99,38.66,100,70,1003.1,998.3,100,100,100,0,100,100,100,100,14.65,0.67
2009,1,21,0,0,40.44,79.17,1007.83,0,0,60.42,11.71,49.92,52.38,272.54,2.25,238.72,43.79,37.65,93,66,1012.9,1003.6,100,0,100,0,100,0,100,0,4.74,0.89
2009,1,22,0,0,36.94,71.62,1006.01,0,0,33.47,20.79,27.75,19.04,446.42,7.21,152.04,44.29,27.91,94,42,1013.9,997.7,100,0,100,0,100,0,100,0,11.98,3.11
2009,1,23,0,0,44.02,75.29,987.02,10.5,19.8,71.73,44,64.08,71.67,77.92,17.33,215.63,50.9,38.08,88,67,996.8,979.5,100,0,100,0,100,0,100,0,28.86,7.29
2009,1,24,0,0,39.33,81.58,988.82,0.1,0.6,94.12,28.62,87.58,53.42,12.13,8.35,174.89,46,33.94,95,55,999,983.7,100,12,100,0,100,0,100,0,16.78,2.3
